PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,Performance
0.016112073923556923,-0.8842633864889005,-0.07388870890967972,-0.3636684414891753,-0.07374014729357148,0.5213214675823611,-0.43584165722916096,0.8522774678803989,-0.6906819105383466,-0.15518603163557185,-0.512798224081558,-0.03982516565028821,-0.23917917307623188,-0.05469578782714388,-0.27275547392964117,-0.21379540782719098,0
1.3651852802164617,0.44579446139460677,-0.14752657084157433,-0.4754687831597468,0.3001093084166798,-0.8286466583235268,0.32201784538781686,0.2359079773226204,0.09333107659761153,0.14767423282802014,0.040158382548387425,0.033806971691597354,0.06433679023162597,-0.10186306688304655,0.1466006942884261,-0.019667894975337663,2
-0.7289199209602935,-0.12892264056519043,-1.217946186996522,-0.8179111177003522,0.5162147002516788,-0.06072021283630896,0.09876829429046086,-0.08832513759216831,0.5356106130816267,0.06803957977230937,0.04650817562658745,0.1426096195310797,0.5354632336107255,-0.08670869361165803,0.2595027422433701,0.08299627652482941,0
1.553368622638891,-0.762922529242136,0.311647185817713,0.05640838216907454,-0.3727778285030568,-0.6233801625579874,-0.04932907909502815,-0.27127574895799933,0.2842132103595717,0.009110453846310651,-0.07258224591308582,-0.06918490422158755,0.06524743315768816,-0.17618565446515494,-0.022449159055392937,-0.008907926201459193,3
-0.12209045619748637,-0.027805754753413847,-0.7978530353173777,-0.4122684573729848,-0.4704767442890977,0.3416182377147926,0.08870156721955635,-0.12024394965486973,-0.3784452079174312,-0.28736366584697287,-0.1003727766524217,-0.36146773826597695,0.6169887386184797,0.8226182665379707,0.19574738112485068,-0.4592263595783036,3
-0.30943564470970997,0.09774733863929252,-0.37146702083683936,0.6064394183341055,0.29359349429969994,-0.3760273272868496,-0.0790178374909215,-0.12920466254214413,-0.04035020283459129,-0.27359903128044805,-0.02739072310171692,-0.2260474636691484,-0.06096441552799636,0.7910954901599099,0.19283298715891417,-0.49465391389923785,0
-0.6797380731871621,-1.0240614255577363,-0.6243251840882236,-0.25929555222296263,-0.25230643887088,-0.1764251766374964,-0.2493827889773796,0.36943814701551536,-0.3438428050555534,-0.7054333753562904,-0.6181271473454633,0.25742760777633983,0.3818624224617122,-0.24984941542556793,0.13931447611748088,0.1994482084866555,0
-0.3209707284903612,0.5196781645982478,0.1805947304856783,-1.0162848256575099,-0.0016116187709619423,0.2608540057605925,0.4211942703617151,-0.0751764856685877,-0.23538677169373778,0.009182226632252544,0.0620874499292267,-0.0686283627614982,-0.29336326520361744,0.006603592995218455,-0.011454438534937383,-0.003264855666086558,0
0.06118159270901527,0.11493324774115721,-0.902641762125957,-0.2744771561806234,-0.03405023687329667,0.7588296536846307,-0.20634616358515145,-0.20933063116337358,0.13360376975841748,0.18348624019232038,-0.22405038904767968,-0.26666710517860726,-0.32365367395741823,-0.031859133624044744,-0.06848082382848023,0.0032164239637509223,0
-0.7115151155719128,-0.19978488124728233,-0.9541900390159579,-0.19131732659230044,-0.3693679913336075,-0.29160388414628474,0.003095997911435666,-0.09608502530688773,-0.0789159737324433,-0.27260136133671575,-0.06799572138053869,-0.24047527671466157,0.49338024244372913,0.8083550523893637,0.21316419633723593,-0.474067546066981,0
